id,name,genre,artists,album,popularity,duration_ms,explicit,track_name_raw,artist_name_raw,track_name_norm,artist_name_norm,track_artist_key
1uzxGEuTPsylfts9vk399T,Garage,garage,Miwako Chinone,RESIDENT EVIL 7 biohazard Original Soundtrack,7,214977,False,Garage,Miwako Chinone,garage,miwako chinone,garage | miwako chinone
4X0mzNecjocEMNgdz8iOfx,Garage,garage,"Link, Mike Jones",Garage,4,244000,False,Garage,"Link, Mike Jones",garage,link mike jones,garage | link mike jones
6uEov3if4LxRGgPASJgai8,Lose My Breath (Feat. Charlie Puth) (Soft Garage Ver.),garage,"Stray Kids, Charlie Puth",Lose My Breath (Remixes),54,197440,False,Lose My Breath (Feat. Charlie Puth) (Soft Garage Ver.),"Stray Kids, Charlie Puth",lose my breath so ver,stray kids charlie puth,lose my breath so ver | stray kids charlie puth
2es55zL5xPHQDcasdCwwXF,Morning Wash,garage,Drontono,Garage Call,13,60000,False,Morning Wash,Drontono,morning wash,drontono,morning wash | drontono
2BZtdB7P0lmLJ2cUAqAHmX,Garage,garage,TRXVELER,Garage,5,126193,True,Garage,TRXVELER,garage,trxveler,garage | trxveler
0aOJlEQZYAP8ecKLzWA0He,Garage,garage,fredbydredd,Garage,11,167961,False,Garage,fredbydredd,garage,fredbydredd,garage | fredbydredd
28IkUOeytCzUUUEgmDuGpX,Sunset Garage,garage,Sun Room,Outta Their Minds,42,154866,False,Sunset Garage,Sun Room,sunset garage,sun room,sunset garage | sun room
5ZZjmdqSbGxLLjWrj5zx2b,Resentment Incubator,garage,Garage A Trois,"Always Be Happy, But Stay Evil",2,367040,False,Resentment Incubator,Garage A Trois,resentment incubator,garage a trois,resentment incubator | garage a trois
5596IrLRCVMZ06pzSgpckB,Garage,garage,Indira Paganotto,Garage,15,379354,False,Garage,Indira Paganotto,garage,indira paganotto,garage | indira paganotto
2NJrYph5QQM3e3HG9YJsDd,INCINERATE,garage,The Garages,UNSTABLE,12,177853,True,INCINERATE,The Garages,incinerate,the garages,incinerate | the garages
5rMDGXlgzL3reKJPxr2aVF,garage,garage,"Wun Two, Hubert Daviz",vapowavez,4,63529,False,garage,"Wun Two, Hubert Daviz",garage,wun two hubert daviz,garage | wun two hubert daviz
0MlYhSz8Xr5JhfV0OpMxRv,Garage Kidd,garage,Kolby Rempel,Give Everything,24,163519,False,Garage Kidd,Kolby Rempel,garage kidd,kolby rempel,garage kidd | kolby rempel
2Oyiqc5T8cEaUcRCsLsab9,GARAGE,garage,Calmera,誰そ彼レゾナンス,5,271426,False,GARAGE,Calmera,garage,calmera,garage | calmera
5NSw7t82zeBQALlCSNDh9c,Spaceship,garage,Garage Skills,Hollow,22,568615,False,Spaceship,Garage Skills,spaceship,garage skills,spaceship | garage skills
5Gzi67y8ZvuAzdK9rUBJAm,GARAGE,garage,BAEBY ALEX,GARAGE,3,260299,True,GARAGE,BAEBY ALEX,garage,baeby alex,garage | baeby alex
3nWz2K0EVBx4JL9ouhorsU,GarageSkankFREESTYLE,garage,Kano,GarageSkankFREESTYLE,39,283196,False,GarageSkankFREESTYLE,Kano,garageskankfreestyle,kano,garageskankfreestyle | kano
6axivOZ4wE55oD2tJlo7pq,Miami Knights,garage,Mackin Tosh,Garage Bandit,10,62068,False,Miami Knights,Mackin Tosh,miami knights,mackin tosh,miami knights | mackin tosh
3uIeyUazuC5g7R6G9wCy41,Germantown,german,"$uicideboy$, Black Smurf",Black $uicide Side C: The Seventh Seal,48,227421,True,Germantown,"$uicideboy$, Black Smurf",germantown,uicideboy black smurf,germantown | uicideboy black smurf
61aVCTPOmfytlMjQ1ZgSlW,"German Dance in C Major, K. 611 ""Die Leyerer""",german,"Wolfgang Amadeus Mozart, Orpheus Chamber Orchestra",Amadeus: Orpheus Chamber Orchestra Plays Mozart,5,114333,False,"German Dance in C Major, K. 611 ""Die Leyerer""","Wolfgang Amadeus Mozart, Orpheus Chamber Orchestra",german dance in c major k 611 die leyerer,wolfgang amadeus mozart orpheus chamber orchestra,german dance in c major k 611 die leyerer | wolfgang amadeus mozart orpheus chamber orchestra
5hzAq3YMt60plv1Cil3vj9,2017,german,German Error Message,2017,31,132544,False,2017,German Error Message,2017,german error message,2017 | german error message
7ki0Q2nYTBhVxZvqLLDp5W,Barbaras Rhabarberbar,german,"Bodo Wartke, Marti Fischer",Zungenbrecher 4.0 - Staffel 4,66,85560,False,Barbaras Rhabarberbar,"Bodo Wartke, Marti Fischer",barbaras rhabarberbar,bodo wartke marti fischer,barbaras rhabarberbar | bodo wartke marti fischer
42q3p0Fi1YMSosK7cXEF09,German Cradle Song,german,Nursery Rhymes 123,"Lullaby Baby, Vol.2",37,104077,False,German Cradle Song,Nursery Rhymes 123,german cradle song,nursery rhymes 123,german cradle song | nursery rhymes 123
0ccrt06db9yZ7NSjufbNuy,Deutsche Nationalhymne (Deutschlandlied),german,Nationalhymne Deutschland,Deutsche Nationalhymne (Deutschlandlied) - Single,30,72817,False,Deutsche Nationalhymne (Deutschlandlied),Nationalhymne Deutschland,deutsche nationalhymne deutschlandlied,nationalhymne deutschland,deutsche nationalhymne deutschlandlied | nationalhymne deutschland
